metric,value,method,dataset,category,source
ARI,0.7756558763614354,Cobolt,D45s,mosaic,rerun-0.2.1
NMI,0.794595188974713,Cobolt,D45s,mosaic,rerun-0.2.1
ASW,0.6122287265021735,Cobolt,D45s,mosaic,rerun-0.2.1
iASW,0.6418624915993357,Cobolt,D45s,mosaic,rerun-0.2.1
iF1,0.8646708106910649,Cobolt,D45s,mosaic,rerun-0.2.1
cLISI,0.9984862882154458,Cobolt,D45s,mosaic,rerun-0.2.1
ASW_batch,0.946694336544974,Cobolt,D45s,mosaic,rerun-0.2.1
GC,0.9768796500002755,Cobolt,D45s,mosaic,rerun-0.2.1
iLISI,0.7914356722877463,Cobolt,D45s,mosaic,rerun-0.2.1
ARI,0.6973932595127006,MultiVI,D45s,mosaic,rerun-0.2.1
NMI,0.7440442811424692,MultiVI,D45s,mosaic,rerun-0.2.1
ASW,0.5614287447403802,MultiVI,D45s,mosaic,rerun-0.2.1
iASW,0.6084085716026162,MultiVI,D45s,mosaic,rerun-0.2.1
iF1,0.8829764171749278,MultiVI,D45s,mosaic,rerun-0.2.1
cLISI,0.9978363247504956,MultiVI,D45s,mosaic,rerun-0.2.1
ASW_batch,0.9848177716224328,MultiVI,D45s,mosaic,rerun-0.2.1
GC,0.9891125803842304,MultiVI,D45s,mosaic,rerun-0.2.1
iLISI,0.8852772382879803,MultiVI,D45s,mosaic,rerun-0.2.1
ARI,0.731959713001255,Multigrate,D45s,mosaic,rerun-0.2.1
NMI,0.7321971039806549,Multigrate,D45s,mosaic,rerun-0.2.1
ASW,0.5433286426694033,Multigrate,D45s,mosaic,rerun-0.2.1
iASW,0.5440888476429367,Multigrate,D45s,mosaic,rerun-0.2.1
iF1,0.7245916761452663,Multigrate,D45s,mosaic,rerun-0.2.1
cLISI,0.9833748490980586,Multigrate,D45s,mosaic,rerun-0.2.1
ASW_batch,0.9160072102301784,Multigrate,D45s,mosaic,rerun-0.2.1
GC,0.9421821529342276,Multigrate,D45s,mosaic,rerun-0.2.1
iLISI,0.6914554662385934,Multigrate,D45s,mosaic,rerun-0.2.1
ARI,0.2669645999248384,SMILE,D45s,mosaic,rerun-0.2.1
NMI,0.4899257989928874,SMILE,D45s,mosaic,rerun-0.2.1
ASW,0.5338064784769939,SMILE,D45s,mosaic,rerun-0.2.1
iASW,0.531590764592654,SMILE,D45s,mosaic,rerun-0.2.1
iF1,0.4763806175787309,SMILE,D45s,mosaic,rerun-0.2.1
cLISI,0.9647061727295436,SMILE,D45s,mosaic,rerun-0.2.1
ASW_batch,0.9409074876674312,SMILE,D45s,mosaic,rerun-0.2.1
GC,0.8976281551801198,SMILE,D45s,mosaic,rerun-0.2.1
iLISI,0.7237773353845283,SMILE,D45s,mosaic,rerun-0.2.1
