metric,value,method,dataset,category,source
ARI,0.0003864311318669,Conos,D28,diagonal,rerun-0.2.1
NMI,0.0225692784661624,Conos,D28,diagonal,rerun-0.2.1
ASW,0.4301022002277908,Conos,D28,diagonal,rerun-0.2.1
iASW,0.4286059076752663,Conos,D28,diagonal,rerun-0.2.1
iF1,0.0647103257910347,Conos,D28,diagonal,rerun-0.2.1
cLISI,0.8184399976216051,Conos,D28,diagonal,rerun-0.2.1
ASW_batch,0.8480433899056178,Conos,D28,diagonal,rerun-0.2.1
GC,0.0738423770657097,Conos,D28,diagonal,rerun-0.2.1
iLISI,0.6276213205571612,Conos,D28,diagonal,rerun-0.2.1
ARI,0.4797557351548953,Portal,D28,diagonal,rerun-0.2.1
NMI,0.6144357944855267,Portal,D28,diagonal,rerun-0.2.1
ASW,0.5185777673155055,Portal,D28,diagonal,rerun-0.2.1
iASW,0.5200730974797743,Portal,D28,diagonal,rerun-0.2.1
iF1,0.5117753850975572,Portal,D28,diagonal,rerun-0.2.1
cLISI,0.9737578802207434,Portal,D28,diagonal,rerun-0.2.1
ASW_batch,0.8318751656486623,Portal,D28,diagonal,rerun-0.2.1
GC,0.8602345776665444,Portal,D28,diagonal,rerun-0.2.1
iLISI,0.6623110998620207,Portal,D28,diagonal,rerun-0.2.1
ARI,0.5743592998817468,SCALEX,D28,diagonal,rerun-0.2.1
NMI,0.5858615397747124,SCALEX,D28,diagonal,rerun-0.2.1
ASW,0.5320226379756663,SCALEX,D28,diagonal,rerun-0.2.1
iASW,0.5161942155392799,SCALEX,D28,diagonal,rerun-0.2.1
iF1,0.4863924854476301,SCALEX,D28,diagonal,rerun-0.2.1
cLISI,0.976245031998713,SCALEX,D28,diagonal,rerun-0.2.1
ASW_batch,0.799406033011273,SCALEX,D28,diagonal,rerun-0.2.1
GC,0.8656481694930759,SCALEX,D28,diagonal,rerun-0.2.1
iLISI,0.3403583367504126,SCALEX,D28,diagonal,rerun-0.2.1
ARI,0.1518066057800979,VIPCCA,D28,diagonal,rerun-0.2.1
NMI,0.3756455521704036,VIPCCA,D28,diagonal,rerun-0.2.1
ASW,0.478464201057578,VIPCCA,D28,diagonal,rerun-0.2.1
iASW,0.4567631920758623,VIPCCA,D28,diagonal,rerun-0.2.1
iF1,0.3618018085961189,VIPCCA,D28,diagonal,rerun-0.2.1
cLISI,0.9514023484718722,VIPCCA,D28,diagonal,rerun-0.2.1
ASW_batch,0.6724224587110584,VIPCCA,D28,diagonal,rerun-0.2.1
GC,0.6201741990785237,VIPCCA,D28,diagonal,rerun-0.2.1
iLISI,0.1581921809776276,VIPCCA,D28,diagonal,rerun-0.2.1
ARI,0.4721258798854709,iNMF,D28,diagonal,rerun-0.2.1
NMI,0.513562561414791,iNMF,D28,diagonal,rerun-0.2.1
ASW,0.4945623905246877,iNMF,D28,diagonal,rerun-0.2.1
iASW,0.4831982830712463,iNMF,D28,diagonal,rerun-0.2.1
iF1,0.457323026946613,iNMF,D28,diagonal,rerun-0.2.1
cLISI,0.9650439339292,iNMF,D28,diagonal,rerun-0.2.1
ASW_batch,0.7940433997788386,iNMF,D28,diagonal,rerun-0.2.1
GC,0.7756895584851199,iNMF,D28,diagonal,rerun-0.2.1
iLISI,0.6419428121596389,iNMF,D28,diagonal,rerun-0.2.1
ARI,0.3748705127890888,online_iNMF,D28,diagonal,rerun-0.2.1
NMI,0.4689597567489403,online_iNMF,D28,diagonal,rerun-0.2.1
ASW,0.4665861511004124,online_iNMF,D28,diagonal,rerun-0.2.1
