metric,value,method,dataset,category
ARI,0.0003864311318669697,Conos,D28,diagonal
NMI,0.02256927846616244,Conos,D28,diagonal
ASW,0.4301022002277908,Conos,D28,diagonal
iASW,0.4286059076752663,Conos,D28,diagonal
iF1,0.06471032579103476,Conos,D28,diagonal
cLISI,0.8184399976216051,Conos,D28,diagonal
ASW_batch,0.8480433899056178,Conos,D28,diagonal
GC,0.07384237706570976,Conos,D28,diagonal
iLISI,0.6276213205571612,Conos,D28,diagonal
ARI,0.47975573515489534,Portal,D28,diagonal
NMI,0.6144357944855267,Portal,D28,diagonal
ASW,0.5185777673155055,Portal,D28,diagonal
iASW,0.5200730974797743,Portal,D28,diagonal
iF1,0.5117753850975572,Portal,D28,diagonal
cLISI,0.9737578802207434,Portal,D28,diagonal
ASW_batch,0.8318751656486623,Portal,D28,diagonal
GC,0.8602345776665444,Portal,D28,diagonal
iLISI,0.6623110998620207,Portal,D28,diagonal
ARI,0.5743592998817468,SCALEX,D28,diagonal
NMI,0.5858615397747124,SCALEX,D28,diagonal
ASW,0.5320226379756663,SCALEX,D28,diagonal
iASW,0.5161942155392799,SCALEX,D28,diagonal
iF1,0.4863924854476301,SCALEX,D28,diagonal
cLISI,0.976245031998713,SCALEX,D28,diagonal
ASW_batch,0.799406033011273,SCALEX,D28,diagonal
GC,0.8656481694930759,SCALEX,D28,diagonal
iLISI,0.3403583367504126,SCALEX,D28,diagonal
ARI,0.15180660578009791,VIPCCA,D28,diagonal
NMI,0.3756455521704036,VIPCCA,D28,diagonal
ASW,0.47846420105757803,VIPCCA,D28,diagonal
iASW,0.4567631920758623,VIPCCA,D28,diagonal
iF1,0.3618018085961189,VIPCCA,D28,diagonal
cLISI,0.9514023484718722,VIPCCA,D28,diagonal
ASW_batch,0.6724224587110584,VIPCCA,D28,diagonal
GC,0.6201741990785237,VIPCCA,D28,diagonal
iLISI,0.15819218097762766,VIPCCA,D28,diagonal
ARI,0.4721258798854709,iNMF,D28,diagonal
NMI,0.513562561414791,iNMF,D28,diagonal
ASW,0.49456239052468776,iNMF,D28,diagonal
iASW,0.48319828307124635,iNMF,D28,diagonal
iF1,0.45732302694661303,iNMF,D28,diagonal
cLISI,0.9650439339292001,iNMF,D28,diagonal
ASW_batch,0.7940433997788386,iNMF,D28,diagonal
GC,0.7756895584851199,iNMF,D28,diagonal
iLISI,0.6419428121596389,iNMF,D28,diagonal
ARI,0.37487051278908884,online_iNMF,D28,diagonal
NMI,0.46895975674894036,online_iNMF,D28,diagonal
ASW,0.46658615110041246,online_iNMF,D28,diagonal
iASW,0.4588915468073995,online_iNMF,D28,diagonal
iF1,0.4064149464516403,online_iNMF,D28,diagonal
cLISI,0.9471855775817473,online_iNMF,D28,diagonal
ASW_batch,0.7776730918239815,online_iNMF,D28,diagonal
GC,0.7577750483671594,online_iNMF,D28,diagonal
iLISI,0.5595398493619435,online_iNMF,D28,diagonal
ARI,0.6178095803969573,scJoint,D28,diagonal
NMI,0.6376721888023513,scJoint,D28,diagonal
ASW,0.5349135288505782,scJoint,D28,diagonal
iASW,0.5238006954225337,scJoint,D28,diagonal
iF1,0.5920516064005373,scJoint,D28,diagonal
cLISI,0.9904256885922975,scJoint,D28,diagonal
ASW_batch,0.7570815766462187,scJoint,D28,diagonal
GC,0.8700703994870589,scJoint,D28,diagonal
iLISI,0.5425897416950753,scJoint,D28,diagonal
ARI,0.18770318711567047,sciCAN,D28,diagonal
NMI,0.36884011212213363,sciCAN,D28,diagonal
ASW,0.5133007252541624,sciCAN,D28,diagonal
iASW,0.4778329867249481,sciCAN,D28,diagonal
iF1,0.38157926034232575,sciCAN,D28,diagonal
cLISI,0.9494591649861712,sciCAN,D28,diagonal
ASW_batch,0.7574897515610418,sciCAN,D28,diagonal
GC,0.6269809316883379,sciCAN,D28,diagonal
iLISI,0.6329562934446926,sciCAN,D28,diagonal
ARI,0.5993905348379265,uniPort,D28,diagonal
NMI,0.6197648642714019,uniPort,D28,diagonal
ASW,0.5320415650677635,uniPort,D28,diagonal
iASW,0.5220981089881316,uniPort,D28,diagonal
iF1,0.49285210188539547,uniPort,D28,diagonal
cLISI,0.9765528219662889,uniPort,D28,diagonal
ASW_batch,0.8346013504109391,uniPort,D28,diagonal
GC,0.8678438987215035,uniPort,D28,diagonal
iLISI,0.5750393692706184,uniPort,D28,diagonal
ARI,0.23682229223973927,MultiMAP,D28,diagonal
NMI,0.49660680873895563,MultiMAP,D28,diagonal
ASW,0.5529045534180554,MultiMAP,D28,diagonal
iASW,0.4769264338470736,MultiMAP,D28,diagonal
iF1,0.48955909180379625,MultiMAP,D28,diagonal
cLISI,0.979375465624607,MultiMAP,D28,diagonal
ASW_batch,0.6176457122154557,MultiMAP,D28,diagonal
GC,0.670070571677796,MultiMAP,D28,diagonal
iLISI,0.668430952763448,MultiMAP,D28,diagonal
ARI,0.6055066251538155,Seurat_v3,D28,diagonal
NMI,0.6338733734429591,Seurat_v3,D28,diagonal
ASW,0.4723897692446118,Seurat_v3,D28,diagonal
iASW,0.509286289745129,Seurat_v3,D28,diagonal
iF1,0.5712204575315878,Seurat_v3,D28,diagonal
cLISI,0.9716138182122172,Seurat_v3,D28,diagonal
ASW_batch,0.7799538190080357,Seurat_v3,D28,diagonal
GC,0.8141927439467408,Seurat_v3,D28,diagonal
iLISI,0.5530846774726372,Seurat_v3,D28,diagonal
