metric,value,method,dataset,category
ARI,0.3975677500301943,Concerto,D11s,vertical
NMI,0.4576851046962372,Concerto,D11s,vertical
ASW,0.4986887259484204,Concerto,D11s,vertical
iASW,0.5038575636089686,Concerto,D11s,vertical
iF1,0.4746748777804653,Concerto,D11s,vertical
cLISI,0.8411127003668684,Concerto,D11s,vertical
ARI,0.4129207174724391,MOFA2,D11s,vertical
NMI,0.6227370924434169,MOFA2,D11s,vertical
ASW,0.4776328182973977,MOFA2,D11s,vertical
iASW,0.4703964164572553,MOFA2,D11s,vertical
iF1,0.6225638286626941,MOFA2,D11s,vertical
cLISI,0.9127019879930812,MOFA2,D11s,vertical
ARI,0.940782830098278,Matilda,D11s,vertical
NMI,0.9343554954238602,Matilda,D11s,vertical
ASW,0.6811870795981916,Matilda,D11s,vertical
iASW,0.6843966754269962,Matilda,D11s,vertical
iF1,0.9669456809485896,Matilda,D11s,vertical
cLISI,0.9994797657123452,Matilda,D11s,vertical
ARI,0.6079783894523099,Multigrate,D11s,vertical
NMI,0.7476191836661465,Multigrate,D11s,vertical
ASW,0.6603467896987286,Multigrate,D11s,vertical
iASW,0.6280912660995879,Multigrate,D11s,vertical
iF1,0.7080691048484197,Multigrate,D11s,vertical
cLISI,0.9909294429153378,Multigrate,D11s,vertical
ARI,0.3547095179680631,UINMF,D11s,vertical
NMI,0.6224847967090243,UINMF,D11s,vertical
ASW,0.5665247748348379,UINMF,D11s,vertical
iASW,0.5330344373675404,UINMF,D11s,vertical
iF1,0.6076705496050283,UINMF,D11s,vertical
cLISI,0.9071496666051594,UINMF,D11s,vertical
ARI,0.5936792372726725,VIMCCA,D11s,vertical
NMI,0.6965824154297798,VIMCCA,D11s,vertical
ASW,0.5795330205724744,VIMCCA,D11s,vertical
iASW,0.558613831119522,VIMCCA,D11s,vertical
iF1,0.7242561561475855,VIMCCA,D11s,vertical
cLISI,0.9753116376122776,VIMCCA,D11s,vertical
ARI,0.5045757390721496,moETM,D11s,vertical
NMI,0.579449756861292,moETM,D11s,vertical
ASW,0.5268481283211796,moETM,D11s,vertical
iASW,0.5214375829124627,moETM,D11s,vertical
iF1,0.5610205409733076,moETM,D11s,vertical
cLISI,0.9468055151368808,moETM,D11s,vertical
ARI,0.649993910580609,scMDC,D11s,vertical
NMI,0.7172607702615122,scMDC,D11s,vertical
ASW,0.5984942007103977,scMDC,D11s,vertical
iASW,0.578602840809153,scMDC,D11s,vertical
iF1,0.6344335545763194,scMDC,D11s,vertical
cLISI,0.9667468374827408,scMDC,D11s,vertical
ARI,0.5202737902710821,scMM,D11s,vertical
NMI,0.616306771046046,scMM,D11s,vertical
ASW,0.5300007550640162,scMM,D11s,vertical
iASW,0.5286372761679701,scMM,D11s,vertical
iF1,0.6172937787088159,scMM,D11s,vertical
cLISI,0.9315447864555466,scMM,D11s,vertical
ARI,0.7412869257764041,scMSI,D11s,vertical
NMI,0.7913599452579053,scMSI,D11s,vertical
ASW,0.5794308949549001,scMSI,D11s,vertical
iASW,0.5771916535586704,scMSI,D11s,vertical
iF1,0.7611736292650032,scMSI,D11s,vertical
cLISI,0.979931376061866,scMSI,D11s,vertical
ARI,0.4833898294034744,scMoMaT,D11s,vertical
NMI,0.5743469786180845,scMoMaT,D11s,vertical
ASW,0.5578232086206887,scMoMaT,D11s,vertical
iASW,0.5496713691173121,scMoMaT,D11s,vertical
iF1,0.5625528099328154,scMoMaT,D11s,vertical
cLISI,0.9551202006077932,scMoMaT,D11s,vertical
ARI,0.610788898134368,sciPENN,D11s,vertical
NMI,0.6901072031921655,sciPENN,D11s,vertical
ASW,0.6084244221406282,sciPENN,D11s,vertical
iASW,0.6066487878905684,sciPENN,D11s,vertical
iF1,0.6592806753871134,sciPENN,D11s,vertical
cLISI,0.9708705815312948,sciPENN,D11s,vertical
ARI,0.8090329065275451,totalVI,D11s,vertical
NMI,0.8388236605058985,totalVI,D11s,vertical
ASW,0.571878561493952,totalVI,D11s,vertical
iASW,0.5786142262676379,totalVI,D11s,vertical
iF1,0.7888006679705905,totalVI,D11s,vertical
cLISI,0.980144178396551,totalVI,D11s,vertical
