metric,value,method,dataset,category
ARI,0.6741218074722282,Concerto,D52,cross
NMI,0.7370887698798286,Concerto,D52,cross
ASW,0.5174954765437649,Concerto,D52,cross
iASW,0.521991455982416,Concerto,D52,cross
iF1,0.5577087392190436,Concerto,D52,cross
cLISI,0.9837212449371336,Concerto,D52,cross
ASW_batch,0.941371899967022,Concerto,D52,cross
GC,0.8891725519871808,Concerto,D52,cross
iLISI,0.4630547333936511,Concerto,D52,cross
ARI,0.6879900906393589,StabMap,D52,cross
NMI,0.7760189266323023,StabMap,D52,cross
ASW,0.5568976220082031,StabMap,D52,cross
iASW,0.5655870457738745,StabMap,D52,cross
iF1,0.6810998942774085,StabMap,D52,cross
cLISI,0.9940434938525239,StabMap,D52,cross
ASW_batch,0.9240995081118873,StabMap,D52,cross
GC,0.9313413366374265,StabMap,D52,cross
iLISI,0.5207619178810321,StabMap,D52,cross
ARI,0.6905333968796284,UINMF,D52,cross
NMI,0.7772036760473289,UINMF,D52,cross
ASW,0.5667931549138492,UINMF,D52,cross
iASW,0.5553475711160016,UINMF,D52,cross
iF1,0.6639138132063174,UINMF,D52,cross
cLISI,0.9933304423012734,UINMF,D52,cross
ASW_batch,0.9352710299706848,UINMF,D52,cross
GC,0.9295859083606636,UINMF,D52,cross
iLISI,0.8663514676907589,UINMF,D52,cross
ARI,0.70478311888582,scMDC,D52,cross
NMI,0.7791054757945106,scMDC,D52,cross
ASW,0.6158565244486813,scMDC,D52,cross
iASW,0.5956030495747321,scMDC,D52,cross
iF1,0.6874729001479036,scMDC,D52,cross
cLISI,0.9968719013011069,scMDC,D52,cross
ASW_batch,0.882774891197516,scMDC,D52,cross
GC,0.8952365205964707,scMDC,D52,cross
iLISI,0.5247374436447165,scMDC,D52,cross
ARI,0.37445326509713306,scMM,D52,cross
NMI,0.5714988859620144,scMM,D52,cross
ASW,0.498963327944157,scMM,D52,cross
iASW,0.4842735123500505,scMM,D52,cross
iF1,0.45619544682856134,scMM,D52,cross
cLISI,0.9686634924245281,scMM,D52,cross
ASW_batch,0.8310269467734847,scMM,D52,cross
GC,0.8405488316160256,scMM,D52,cross
iLISI,0.22958477160839252,scMM,D52,cross
ARI,0.47377357649435115,scMoMaT,D52,cross
NMI,0.6854737440380442,scMoMaT,D52,cross
ASW,0.5512346995152202,scMoMaT,D52,cross
iASW,0.47505457774834475,scMoMaT,D52,cross
iF1,0.5667574685417457,scMoMaT,D52,cross
cLISI,0.991933849136911,scMoMaT,D52,cross
ASW_batch,0.8259597053181846,scMoMaT,D52,cross
GC,0.6139703807401096,scMoMaT,D52,cross
iLISI,0.7245007962289813,scMoMaT,D52,cross
ARI,0.6946628220722493,sciPENN,D52,cross
NMI,0.7914370902961404,sciPENN,D52,cross
ASW,0.6061983025506469,sciPENN,D52,cross
iASW,0.6220870513306329,sciPENN,D52,cross
iF1,0.7325179439680716,sciPENN,D52,cross
cLISI,0.9980036684968471,sciPENN,D52,cross
ASW_batch,0.8813859666235684,sciPENN,D52,cross
GC,0.9314311360588396,sciPENN,D52,cross
iLISI,0.38740206228210194,sciPENN,D52,cross
ARI,0.7667584005324173,totalVI,D52,cross
NMI,0.802977427553603,totalVI,D52,cross
ASW,0.5455163697815534,totalVI,D52,cross
iASW,0.5716013755709136,totalVI,D52,cross
iF1,0.7396396657668289,totalVI,D52,cross
cLISI,0.9914651403777216,totalVI,D52,cross
ASW_batch,0.9532793913936637,totalVI,D52,cross
GC,0.9746464694508236,totalVI,D52,cross
iLISI,0.7107067197394965,totalVI,D52,cross
