metric,value,method,dataset,category
ARI,0.3724013612140145,Concerto,D11,vertical
NMI,0.4705296560062781,Concerto,D11,vertical
ASW,0.5085681627033178,Concerto,D11,vertical
iASW,0.5097964632482996,Concerto,D11,vertical
iF1,0.5074967883035005,Concerto,D11,vertical
cLISI,0.8827255731178116,Concerto,D11,vertical
ARI,0.4443728571400766,MOFA2,D11,vertical
NMI,0.6690666934477557,MOFA2,D11,vertical
ASW,0.4732682386317695,MOFA2,D11,vertical
iASW,0.46706066585174477,MOFA2,D11,vertical
iF1,0.6686894439145704,MOFA2,D11,vertical
cLISI,0.9310374861631265,MOFA2,D11,vertical
ARI,0.9238229805279999,Matilda,D11,vertical
NMI,0.9186159755698358,Matilda,D11,vertical
ASW,0.6793129172881713,Matilda,D11,vertical
iASW,0.6821645743402744,Matilda,D11,vertical
iF1,0.9625321130739896,Matilda,D11,vertical
cLISI,0.9989384937788071,Matilda,D11,vertical
ARI,0.6556379983223984,Multigrate,D11,vertical
NMI,0.7643162958371191,Multigrate,D11,vertical
ASW,0.6608676076662665,Multigrate,D11,vertical
iASW,0.6476707844077664,Multigrate,D11,vertical
iF1,0.7528838000214861,Multigrate,D11,vertical
cLISI,0.995965145848113,Multigrate,D11,vertical
ARI,0.4983146209649599,UINMF,D11,vertical
NMI,0.6285817457609159,UINMF,D11,vertical
ASW,0.5540715722436071,UINMF,D11,vertical
iASW,0.5200321739171397,UINMF,D11,vertical
iF1,0.6045283814389859,UINMF,D11,vertical
cLISI,0.9557201688762942,UINMF,D11,vertical
ARI,0.5985181836410024,VIMCCA,D11,vertical
NMI,0.7299792335283366,VIMCCA,D11,vertical
ASW,0.5846821253217845,VIMCCA,D11,vertical
iASW,0.5632153287172261,VIMCCA,D11,vertical
iF1,0.7732457920246935,VIMCCA,D11,vertical
cLISI,0.9894866684727216,VIMCCA,D11,vertical
ARI,0.660452368926792,moETM,D11,vertical
NMI,0.7323316524940997,moETM,D11,vertical
ASW,0.5478382023779483,moETM,D11,vertical
iASW,0.5666697205495759,moETM,D11,vertical
iF1,0.6719256421483557,moETM,D11,vertical
cLISI,0.9665337623400375,moETM,D11,vertical
ARI,0.6493965020654322,scMDC,D11,vertical
NMI,0.7111455362117333,scMDC,D11,vertical
ASW,0.6104137642526477,scMDC,D11,vertical
iASW,0.583176835057198,scMDC,D11,vertical
iF1,0.6344400079970498,scMDC,D11,vertical
cLISI,0.978602103854484,scMDC,D11,vertical
ARI,0.6939146765424737,scMM,D11,vertical
NMI,0.7227992593628519,scMM,D11,vertical
ASW,0.5721929492380515,scMM,D11,vertical
iASW,0.5479362678606283,scMM,D11,vertical
iF1,0.6381987339451265,scMM,D11,vertical
cLISI,0.9720361072620668,scMM,D11,vertical
ARI,0.7518410622505537,scMSI,D11,vertical
NMI,0.8018724397029361,scMSI,D11,vertical
ASW,0.5742580082569875,scMSI,D11,vertical
iASW,0.5715792477826539,scMSI,D11,vertical
iF1,0.7845968302318439,scMSI,D11,vertical
cLISI,0.9830372670147595,scMSI,D11,vertical
ARI,0.44693977014747016,scMoMaT,D11,vertical
NMI,0.5495081224744255,scMoMaT,D11,vertical
ASW,0.5804608088278319,scMoMaT,D11,vertical
iASW,0.5436269374865206,scMoMaT,D11,vertical
iF1,0.549925871306453,scMoMaT,D11,vertical
cLISI,0.9598928540569128,scMoMaT,D11,vertical
ARI,0.5839280568690404,sciPENN,D11,vertical
NMI,0.6889762678903176,sciPENN,D11,vertical
ASW,0.6310725861951413,sciPENN,D11,vertical
iASW,0.6227081251869228,sciPENN,D11,vertical
iF1,0.6512164314141967,sciPENN,D11,vertical
cLISI,0.9784593320770066,sciPENN,D11,vertical
ARI,0.8205732105868393,totalVI,D11,vertical
NMI,0.840033400840987,totalVI,D11,vertical
ASW,0.5504448526310012,totalVI,D11,vertical
iASW,0.5539941340756974,totalVI,D11,vertical
iF1,0.8060239767611725,totalVI,D11,vertical
cLISI,0.9756401713478097,totalVI,D11,vertical
